Price,Close,High,Low,Open,Volume,Period
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,
Date,,,,,,
1999-01-22,0.0376117043197155,0.044775311584014724,0.03558146497740723,0.04011878256394706,2714688000,before_trump
1999-01-25,0.04155205562710762,0.04202889452409068,0.037611703930043774,0.0405965399745699,510480000,before_trump
1999-01-26,0.038327887654304504,0.04286520595733842,0.03773091829528981,0.042028901596367074,343200000,before_trump
1999-01-27,0.03820866718888283,0.03940260220917949,0.036297639429123,0.038447086621252693,244368000,before_trump
1999-01-28,0.03808855265378952,0.03844709914026982,0.03785013314378628,0.038208679630266584,227520000,before_trump
1999-01-29,0.036297641694545746,0.038208669573577395,0.036297641694545746,0.03808854262871827,244032000,before_trump
1999-02-01,0.03701473027467728,0.03725314969484809,0.036297637571905135,0.036297637571905135,154704000,before_trump
1999-02-02,0.03414911776781082,0.03725316625582631,0.0330743937489647,0.03629765370810812,264096000,before_trump
1999-02-03,0.03486529365181923,0.03534305161147145,0.03343202318895751,0.0336713616335548,75120000,before_trump
1999-02-04,0.03677540272474289,0.03773091503952202,0.03486528677626293,0.035343044641699635,181920000,before_trump
1999-02-05,0.03785012662410736,0.03820867304882809,0.03641777195176506,0.03737236875687172,136848000,before_trump
1999-02-08,0.036536987870931625,0.03820868130269444,0.036536987870931625,0.03808855432095931,154080000,before_trump
1999-02-09,0.03510371595621109,0.0374915867822957,0.034625958005088976,0.03725316385540273,86976000,before_trump
1999-02-10,0.03474607691168785,0.03605922006708527,0.034149107635773994,0.03510370780286747,148224000,before_trump
1999-02-11,0.037730924785137177,0.03916327982205272,0.034865295781707585,0.034865295781707585,132240000,before_trump
1999-02-12,0.03988036513328552,0.04011878459632526,0.038208672103981704,0.038208672103981704,109728000,before_trump
1999-02-16,0.04011878743767738,0.04226823847463416,0.03605922377309622,0.04059654532693522,211008000,before_trump
1999-02-17,0.037969332188367844,0.03964102515060763,0.03725315489863794,0.03916326731435269,67728000,before_trump
1999-02-18,0.03856629133224487,0.03964101474123246,0.03749156792325728,0.03916325703043241,70704000,before_trump
1999-02-19,0.03988036513328552,0.04059654245174662,0.03773091424856034,0.038208672103981704,75360000,before_trump
1999-02-22,0.04011878743767738,0.041074303216193056,0.0379693364007206,0.04059654532693522,205248000,before_trump
1999-02-23,0.042028896510601044,0.042865200770374215,0.03868642942730776,0.04107429974222978,138096000,before_trump
