Date,Close_INTC,High_INTC,Low_INTC,Open_INTC,Volume_INTC,Period_INTC,Shares_Out_INTC,Market_Cap_INTC,Trailing_PE_INTC,Forward_PE_INTC,Total_Revenue_INTC,PS_Ratio_INTC,Total_Debt_INTC,Cash_Equivalents_INTC,TD_CE_Missing_INTC,Shares_Out_Missing_INTC,PE_Missing_INTC,PS_Missing_INTC,EV_INTC
1999-01-20,19.599658966064453,20.37053162883462,19.51105291287248,19.97180438947074,61501200,before_trump,,,-4.474807983119739,20.205833985633458,53100998656,,0.0,0.0,1,1,0,1,
1999-01-21,18.926252365112305,19.51105229774218,18.74904026431537,19.422446247343714,63926400,before_trump,,,-4.321062183815595,19.511600376404438,53100998656,,0.0,0.0,1,1,0,1,
1999-01-22,18.27057266235352,18.81993032727394,18.217409017361216,18.53639088731501,87440800,before_trump,,,-4.171363621541899,18.83564191995208,53100998656,,0.0,0.0,1,1,0,1,
1999-01-25,18.518659591674805,18.60726561842923,17.942720417771042,18.412332359569497,59519200,before_trump,,,-4.228004472985115,19.09140164090186,53100998656,,0.0,0.0,1,1,0,1,
1999-01-26,19.41358757019043,19.42244817611019,18.660436067010977,18.83764818540614,68130000,before_trump,,,-4.432325929267222,20.01400780432003,53100998656,,0.0,0.0,1,1,0,1,
1999-01-27,18.819921493530277,19.49332734734774,18.802200286850866,19.36927890059189,57336000,before_trump,,,-4.296785729116502,19.401980921165233,53100998656,,0.0,0.0,1,1,0,1,
1999-01-28,19.44902992248535,19.652823857891804,19.138908716432056,19.44016931659812,83802000,before_trump,,,-4.44041779052177,20.05054631184057,53100998656,,0.0,0.0,1,1,0,1,
1999-01-29,19.980661392211918,20.00724320337672,19.33383732053499,19.546491809853432,57248400,before_trump,,,-4.5617948384045475,20.59861999197105,53100998656,,0.0,0.0,1,1,0,1,
1999-02-01,19.54648780822754,19.9452148940708,19.422439381520743,19.9452148940708,52246000,before_trump,,,-4.462668449367018,20.151018358997465,53100998656,,0.0,0.0,1,1,0,1,
1999-02-02,19.085737228393555,19.573070351681228,18.819919161145734,19.564209749439637,59669200,before_trump,,,-4.357474253057889,19.67601776123047,53100998656,,0.0,0.0,1,1,0,1,
1999-02-03,19.670440673828125,19.71476343334553,18.83717279490075,18.934682865839054,57020000,before_trump,,,-4.490968190371718,20.27880481837951,53100998656,,0.0,0.0,1,1,0,1,
1999-02-04,18.456005096435547,19.431106230252983,18.438275984911595,19.39564800720508,86413200,before_trump,,,-4.213699793706746,19.026809377768604,53100998656,,0.0,0.0,1,1,0,1,
1999-02-05,18.09256172180176,18.79286175904935,17.40112624198768,18.686487069847185,135059600,before_trump,,,-4.13072185429264,18.65212548639357,53100998656,,0.0,0.0,1,1,0,1,
1999-02-08,18.72194099426269,18.95241943453297,18.0659638950319,18.42054611083233,69630800,before_trump,,,-4.27441575211477,19.300970097178034,53100998656,,0.0,0.0,1,1,0,1,
1999-02-09,17.7734375,18.801726153366584,17.693656483790523,18.65989323566085,80440000,before_trump,,,-4.057862442922374,18.32313144329897,53100998656,,0.0,0.0,1,1,0,1,
1999-02-10,18.26984405517578,18.38508324620794,17.59613801529545,17.791158184734492,67522400,before_trump,,,-4.171197272871183,18.834890778531733,53100998656,,0.0,0.0,1,1,0,1,
1999-02-11,18.89923667907715,18.943559466786056,18.1280201729422,18.38509234165385,54106800,before_trump,,,-4.314894218967385,19.483749153687782,53100998656,,0.0,0.0,1,1,0,1,
1999-02-12,17.941856384277344,18.6155624540427,17.835481741682813,18.6155624540427,73194800,before_trump,,,-4.096314242985695,18.496759159048807,53100998656,,0.0,0.0,1,1,0,1,
1999-02-16,17.92413330078125,18.509194031667285,17.746842170209725,18.323038344567184,59492800,before_trump,,,-4.092267876890697,18.478487938949744,53100998656,,0.0,0.0,1,1,0,1,
1999-02-17,17.675926208496094,18.21666417174497,17.534093300102946,17.578416083975803,81443200,before_trump,,,-4.035599590980843,18.222604338655767,53100998656,,0.0,0.0,1,1,0,1,
1999-02-18,18.172332763671875,18.42054023556593,17.693646925019056,17.870937976371952,71698800,before_trump,,,-4.148934420929652,18.73436367388853,53100998656,,0.0,0.0,1,1,0,1,
1999-02-19,18.163476943969727,18.526923773985715,18.06596681884349,18.20779972811802,50430400,before_trump,,,-4.146912544285326,18.725233962855388,53100998656,,0.0,0.0,1,1,0,1,
1999-02-22,18.83718681335449,18.84605137185489,17.78230435180664,18.11915757482192,60588800,before_trump,,,-4.300727582957646,19.419780219953083,53100998656,,0.0,0.0,1,1,0,1,
1999-02-23,19.041061401367188,19.50201819506881,18.65102103746581,18.757395682166187,73702800,before_trump,,,-4.347274292549586,19.62996020759504,53100998656,,0.0,0.0,1,1,0,1,
1999-02-24,18.491464614868164,19.41337847869668,18.473735502102237,18.996744328697257,65650400,before_trump,,,-4.221795574170814,19.063365582338314,53100998656,,0.0,0.0,1,1,0,1,
1999-02-25,18.11915397644043,18.43827801907832,17.737978036622945,18.296445111239255,79470000,before_trump,,,-4.136793145306035,18.67954018189735,53100998656,,0.0,0.0,1,1,0,1,
1999-02-26,17.011083602905273,17.58727976454615,16.860386145245354,17.569550651880277,167201200,before_trump,,,-3.883809041759195,17.537199590623995,53100998656,,0.0,0.0,1,1,0,1,
1999-03-01,16.603317260742188,16.878118560839898,16.266464054170804,16.851524886636895,128595600,before_trump,,,-3.790711703365796,17.116821918290917,53100998656,,0.0,0.0,1,1,0,1,
1999-03-02,15.575017929077148,16.42601492463287,15.539559720928994,16.399421268521756,134460000,before_trump,,,-3.55594016645597,16.056719514512526,53100998656,,0.0,0.0,1,1,0,1,
1999-03-03,16.266454696655273,16.310777461496297,15.601613224039935,16.009382660577344,136544000,before_trump,,,-3.7138024421587383,16.76954092438688,53100998656,,0.0,0.0,1,1,0,1,
1999-03-04,16.080310821533203,16.718559101108944,15.654811968482711,16.42602863963673,105008400,before_trump,,,-3.671303840532695,16.57764002219918,53100998656,,0.0,0.0,1,1,0,1,
1999-03-05,16.257585525512695,16.612167543517334,15.920732608408288,16.48806383721571,87876400,before_trump,,,-3.7117775172403413,16.76039744898216,53100998656,,0.0,0.0,1,1,0,1,
1999-03-08,16.966764450073242,17.026600218118173,16.594453004460348,16.70082770320689,73882400,before_trump,,,-3.8736905137153523,17.49150974234355,53100998656,,0.0,0.0,1,1,0,1,
1999-03-09,16.355104446411133,17.04653975634071,16.275323449111568,16.904706872252593,90112800,before_trump,,,-3.73404211105277,16.86093241898055,53100998656,,0.0,0.0,1,1,0,1,
1999-03-10,16.57672691345215,16.789476349774528,16.346248357436234,16.585591473298916,80239200,before_trump,,,-3.784640847820125,17.089409189125927,53100998656,,0.0,0.0,1,1,0,1,
1999-03-11,16.754013061523438,16.931304205031623,16.470347231910342,16.72741938999721,60116000,before_trump,,,-3.8251171373341184,17.27217841394169,53100998656,,0.0,0.0,1,1,0,1,
1999-03-12,16.771738052368164,17.002216482263286,16.594446952448838,16.860383602327826,68498000,before_trump,,,-3.829163938896841,17.29045160037955,53100998656,,0.0,0.0,1,1,0,1,
1999-03-15,16.71855354309082,16.860386446955854,16.558991526242657,16.860386446955854,44557200,before_trump,,,-3.8170213568700504,17.23562220937198,53100998656,,0.0,0.0,1,1,0,1,
1999-03-16,17.073131561279297,17.37452640711704,16.71854938970548,16.79833037830959,84968800,before_trump,,,-3.8979752423012095,17.601166558019894,53100998656,,0.0,0.0,1,1,0,1,
1999-03-17,17.090862274169922,17.356798927813646,16.966758502469517,17.12632049465575,58679200,before_trump,,,-3.9020233502671053,17.619445643474148,53100998656,,0.0,0.0,1,1,0,1,
1999-03-18,17.27701759338379,17.445444137393174,17.108591049374404,17.27701759338379,54057600,before_trump,,,-3.9445245646994955,17.81135834369463,53100998656,,0.0,0.0,1,1,0,1,
1999-03-19,16.878116607666016,17.640468513264377,16.864819772103253,17.578416613971488,71022800,before_trump,,,-3.8534512802890446,17.400120214088677,53100998656,,0.0,0.0,1,1,0,1,
1999-03-22,16.32850456237793,16.913564986437073,16.31077545861856,16.895835882677705,49174000,before_trump,,,-3.7279690781684773,16.833509858121577,53100998656,,0.0,0.0,1,1,0,1,
1999-03-23,16.248729705810547,16.594447359125663,16.13349048803884,16.390562589221876,66840000,before_trump,,,-3.7097556405960153,16.751267737949018,53100998656,,0.0,0.0,1,1,0,1,
1999-03-24,16.913576126098633,16.940169799252875,16.20441150865215,16.2753279703968,64180000,before_trump,,,-3.8615470607531126,17.436676418658386,53100998656,,0.0,0.0,1,1,0,1,
1999-03-25,16.727413177490234,17.064266225049654,16.558986653710523,17.046537117283368,60403200,before_trump,,,-3.819044104449825,17.244755853082715,53100998656,,0.0,0.0,1,1,0,1,
1999-03-26,16.550132751464844,17.179516482238277,16.541268191876487,16.736288502820365,53682400,before_trump,,,-3.7785691213390056,17.061992527283344,53100998656,,0.0,0.0,1,1,0,1,
1999-03-29,17.24155616760254,17.250420720902078,16.470340030542683,16.67422475643207,44410400,before_trump,,,-3.936428348767703,17.774800172786122,53100998656,,0.0,0.0,1,1,0,1,
