Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx
2023-05-23,09:30,31.0,31.288,30.98,31.11909,91538990.0,55.88845,31.2691,-112.27463,0.2926835,31.64682,31.33029,31.013754,31.23398,0.28022602,0.38695177,-0.10672575,52.27246,52.92626,26.18795
2023-05-23,10:30,31.1215,31.164,30.923,31.047,47853620.0,53.63945,31.24505,-149.010183,0.28899184,31.65409,31.31477,30.97546,31.19659,0.24546586,0.35865459,-0.11318873,43.69051,50.95975,25.52423
2023-05-23,11:30,31.05,31.051999,30.715,30.84399,47080830.0,47.80531,31.18381,-223.90211,0.29242096,31.65855,31.27957,30.90059,31.12607,0.19924032,0.32677174,-0.12753141,19.52284,38.49527,25.5682
2023-05-23,12:30,30.84599,30.92299,30.695,30.86758,43141490.0,48.5062,31.12991,-207.27002,0.28781859,31.66985,31.25397,30.8381,31.074371,0.16263502,0.29394439,-0.13130937,22.33117,28.51484,25.6691
2023-05-23,13:30,30.8625,30.891,30.653,30.693,30011560.0,43.81682,31.069241,-207.62301,0.28426015,31.63001,31.20277,30.77554,30.9981,0.1181755,0.25879062,-0.14061511,4.61353,15.48918,25.89373
2023-05-23,14:30,30.68975,30.83,30.631,30.807,40685110.0,47.39329,31.01663,-169.99192,0.27817007,31.5606,31.15922,30.75785,30.95988,0.09108995,0.22525048,-0.13416053,19.7976,15.58077,26.17332
2023-05-23,15:30,30.81,30.849,30.678,30.693,32546910.0,44.35273,30.94174,-145.28857,0.270515,31.58551,31.13567,30.68584,30.9065,0.05973688,0.19214776,-0.13241088,6.97406,10.46173,26.31407
2023-05-24,09:30,30.21,30.319,29.926,29.92601,121397320.0,30.27828,30.79763,-274.71951,0.3059781,31.76764,31.074725,30.38181,30.7104,-0.026692572,0.1483797,-0.17507227,0.00059295803,8.92409,28.25847
2023-05-24,10:30,29.926,30.05,29.806,30.038,78505850.0,33.59194,30.67052,-225.56348,0.30155111,31.81822,31.007325,30.19643,30.57592,-0.085170062,0.10166974,-0.18683981,14.42028,7.13165,30.254
2023-05-24,11:30,30.037,30.12,29.903,29.984,49949590.0,32.78286,30.5444,-176.17656,0.29551184,31.85167,30.94065,30.02963,30.45754,-0.13432292,0.054471211,-0.18879413,11.063795,8.49489,31.71965
2023-05-24,12:30,29.98427,30.069,29.88808,30.0089905,35435070.0,33.58016,30.42906,-150.39515,0.28732674,31.86623,30.87992,29.89362,30.36783,-0.16930868,0.0097152332,-0.17902391,12.61713,12.7004,33.10842
2023-05-24,13:30,30.0049988,30.225,29.94,30.107,43175620.0,36.74887,30.34718,-115.46754,0.28716058,31.84593,30.82187,29.79782,30.31566,-0.18697125,-0.029622063,-0.15734918,18.70908,14.13,33.51539
2023-05-24,14:30,30.107,30.543,29.981,30.53798,78406120.0,48.40515,30.31055,-65.58151,0.30679194,31.79581,30.7856,29.77538,30.36013,-0.16429867,-0.056557385,-0.10774129,49.3913,26.90583,32.38483
2023-05-24,15:30,30.53797,30.607,30.32201,30.541,76984590.0,48.47683,30.29366,-39.037595,0.30523476,31.71803,30.74289,29.76775,30.3963,-0.1444219,-0.074130287,-0.070291611,49.59516,39.23184,31.066665
2023-05-25,09:30,38.523,38.599,36.635,38.357,642922080.0,89.42175,31.13255,575.95193,0.85900361,34.55445,31.093108,27.63177,31.98844,0.49629551,0.039954872,0.45634064,97.24783,65.41143,34.453
2023-05-25,10:30,38.357,39.48,37.99,38.948,265056860.0,90.064684,32.049776,356.10906,0.90407474,36.3491,31.47856,26.60802,33.38035,1.039772,0.23991822,0.7998534,94.50075,80.44791,37.73249
2023-05-25,11:30,38.9555,39.108,38.253,38.42247,160421040.0,85.11094,32.99383,228.037597,0.90056931,37.56696,31.83566,26.10435,34.38878,1.4118,0.47429459,0.93750546,89.06834,93.60564,40.77773
2023-05-25,12:30,38.42288,38.895,38.282,38.70346,107687240.0,85.56801,33.95666,170.74126,0.88002868,38.65996,32.20248,25.745,35.25171,1.7096,0.72135599,0.98824563,91.97294,91.84734,43.60545
2023-05-25,13:30,38.704,38.8,38.211,38.309,91044610.0,81.77291,34.88166,132.74509,0.85924102,39.51831,32.55678,25.59524,35.86317,1.89197,0.95547926,0.93649307,87.8954,89.64556,46.11829
2023-05-25,14:30,38.312,38.548,38.095139,38.42389,112329490.0,82.022999,35.81664,109.27072,0.83021399,40.29757,32.91887,25.54018,36.37531,2.022459,1.16888,0.85358411,89.083009,89.65045,48.25796
2023-05-25,15:30,38.4275,38.433,37.78,37.985,105444630.0,77.64053,36.69198,89.19709,0.81755584,40.90802,33.26217,25.61632,36.69725,2.066634,1.34843,0.71820683,84.54622,87.17488,49.70985
2023-05-26,09:30,37.89,38.205,37.55,38.047751,179705440.0,77.82297,37.5264,76.29804,0.80594462,41.45872,33.61221,25.76569,36.96735,2.082698,1.49528,0.58741662,85.19487,86.2747,50.66847
2023-05-26,10:30,38.042999,38.758,37.954,38.44459,134872110.0,78.99051,38.40457,74.81953,0.80580556,42.00022808,33.99224,25.98424,37.2628,2.10321,1.61687,0.4863396,89.2054,86.3155,51.76216
2023-05-26,11:30,38.447,38.74,38.445,38.6585,86267820.0,79.61354,38.43807,70.73811,0.76934875,42.50108,34.38178,26.26248,37.54194,2.11237,1.71597,0.39640232,91.4355,88.61192,52.77774
2023-05-26,12:30,38.66066,39.016861,38.621,38.702,76624070.0,79.74508,38.41074,66.79607,0.74267111,42.92429,34.78223,26.64018,37.77395,2.098946,1.79256,0.30638323,91.84486,90.82859,53.82514
2023-05-26,13:30,38.704,38.998,38.627,38.9575,56857300.0,80.53936,38.47019,62.5878,0.71612333,43.31101,35.18976,27.0685,38.010661,2.084891,1.85103,0.23386301,94.49945,92.59327,54.79773
2023-05-26,14:30,38.96,39.17,38.75,38.96248,79974220.0,80.55536,38.49897,59.65535,0.69497175,43.60782,35.60323,27.59864,38.20102,2.050517,1.89093,0.15959143,94.34898,93.56443,55.77066
2023-05-26,15:30,38.963,39.001001,38.825,38.924,52784810.0,80.007807,38.5673,55.24621,0.65790241,43.73579,36.05313,28.37048,38.34562,1.99715,1.91217,0.084978499,80.45694,89.76845,56.67409
2023-05-30,09:30,40.50522,41.938,40.267,40.82333,330282080.0,85.31404,38.83391,93.16826,0.8261952,44.020355,36.5924,29.16444,38.84116,2.084091,1.94655,0.13753586,74.59732,83.13441,58.35401
