,Date,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,Period_NVDA,Shares_Out_NVDA,Market_Cap_NVDA,Trailing_PE_NVDA,Forward_PE_NVDA,Total_Revenue_NVDA,PS_Ratio_NVDA,Total_Debt_NVDA,Cash_Equivalents_NVDA,TD_CE_Missing_NVDA,Shares_Out_Missing_NVDA,PE_Missing_NVDA,PS_Missing_NVDA,EV_NVDA
0,1999-01-22,0.0376117043197155,0.0447753115840147,0.0355814649774072,0.040118782563947,2714688000,before_trump,538000000.0,20235096.92400694,0.0127930967073862,0.0091290544465328,130497003520,0.00015506177443304822,11831000000.0,3389000000.0,1,1,0,1,0.0
1,1999-01-25,0.0415520668029785,0.0420289058282125,0.0376117140461148,0.0405965508934446,510480000,before_trump,538000000.0,22355011.940002434,0.0141333560554348,0.010085453107519,130497003520,0.00017130670695113931,11831000000.0,3389000000.0,1,1,0,1,0.0
2,1999-01-26,0.0383278876543045,0.0428652059573384,0.0377309182952898,0.042028901596367,343200000,before_trump,538000000.0,20620403.55801582,0.0130366964810559,0.0093028853529865,130497003520,0.00015801438348625018,11831000000.0,3389000000.0,1,1,0,1,0.0
3,1999-01-27,0.0382086783647537,0.0394026137342712,0.0362976500460264,0.0384470978668602,244368000,before_trump,538000000.0,20556268.960237492,0.0129961491036577,0.0092739510594062,130497003520,0.00015752291934494138,11831000000.0,3389000000.0,1,1,0,1,0.0
4,1999-01-28,0.0380885563790798,0.0384471029006281,0.0378501368457577,0.038208683367306,227520000,before_trump,538000000.0,20491643.33194493,0.0129552912854012,0.0092447952376407,130497003520,0.00015702769243130076,11831000000.0,3389000000.0,1,1,0,1,0.0
5,1999-01-29,0.0362976603209972,0.0382086891806895,0.0362976603209972,0.0380885621741862,244032000,before_trump,538000000.0,19528141.252696496,0.0123461429663255,0.0088101117283973,130497003520,0.00014964436520340183,11831000000.0,3389000000.0,1,1,0,1,0.0
6,1999-02-01,0.0370147377252578,0.0372531571934193,0.0362976448781443,0.0362976448781443,154704000,before_trump,538000000.0,19913928.896188695,0.0125900468453257,0.0089841596420528,130497003520,0.00015260066023766347,11831000000.0,3389000000.0,1,1,0,1,0.0
7,1999-02-02,0.0341491103172302,0.0372531581280111,0.033074386532865,0.0362976457887646,264096000,before_trump,538000000.0,18372221.350669846,0.0116153436453163,0.0082886190090364,130497003520,0.00014078653804379588,11831000000.0,3389000000.0,1,1,0,1,0.0
8,1999-02-03,0.0348652750253677,0.0353430327297823,0.0334320053282171,0.0336713436449501,75120000,before_trump,538000000.0,18757517.963647824,0.0118589370834584,0.0084624453945067,130497003520,0.00014373907030572577,11831000000.0,3389000000.0,1,1,0,1,0.0
9,1999-02-04,0.036775417625904,0.0377309303278507,0.0348653009034571,0.0353430589624783,181920000,before_trump,538000000.0,19785174.682736352,0.0125086454509877,0.008926072239297,130497003520,0.00015161401525747733,11831000000.0,3389000000.0,1,1,0,1,0.0
10,1999-02-05,0.037850122898817,0.0382086692882488,0.0364177683674501,0.0373723650786033,136848000,before_trump,538000000.0,20363366.119563546,0.0128741914621826,0.0091869230336934,130497003520,0.00015604470271566543,11831000000.0,3389000000.0,1,1,0,1,0.0
11,1999-02-08,0.0365369953215122,0.0382086890941648,0.0365369953215122,0.0380885620879335,154080000,before_trump,538000000.0,19656903.482973564,0.0124275494290857,0.0088682027479398,130497003520,0.0001506310716166057,11831000000.0,3389000000.0,1,1,0,1,0.0
12,1999-02-09,0.0351037085056304,0.0374915788249019,0.03462595065591,0.037253155948613,86976000,before_trump,538000000.0,18885795.176029157,0.011940036906677,0.0085203175984539,130497003520,0.0001447220600213607,11831000000.0,3389000000.0,1,1,0,1,0.0
13,1999-02-10,0.0347460694611072,0.0360592123349281,0.0341491003132011,0.0351037002756002,148224000,before_trump,538000000.0,18693385.370075673,0.0118183909731657,0.0084335120051231,130497003520,0.00014324762152267137,11831000000.0,3389000000.0,1,1,0,1,0.0
14,1999-02-11,0.0377309247851371,0.0391632798220527,0.0348652957817075,0.0348652957817075,132240000,before_trump,538000000.0,20299237.53440376,0.012833647886101,0.0091579914527031,130497003520,0.0001555532846491199,11831000000.0,3389000000.0,1,1,0,1,0.0
15,1999-02-12,0.0398803688585758,0.0401187883438867,0.0382086756731164,0.0382086756731164,109728000,before_trump,538000000.0,21455638.44591378,0.0135647513124407,0.0096797011792659,130497003520,0.0001644147977897859,11831000000.0,3389000000.0,1,1,0,1,0.0
16,1999-02-16,0.040118783712387,0.0422682345497533,0.0360592204247628,0.040596541557282,211008000,before_trump,538000000.0,21583905.637264207,0.0136458448001316,0.0097375688622298,130497003520,0.0001653977107141487,11831000000.0,3389000000.0,1,1,0,1,0.0
17,1999-02-17,0.0379693321883678,0.0396410251506076,0.0372531548986379,0.0391632673143526,67728000,before_trump,538000000.0,20427500.717341878,0.0129147388395808,0.0092158573272737,130497003520,0.00015653616685697426,11831000000.0,3389000000.0,1,1,0,1,0.0
18,1999-02-18,0.0385662987828254,0.0396410223994377,0.0374915751662132,0.0391632645963401,70704000,before_trump,538000000.0,20748668.745160066,0.0131177887016412,0.0093607521317537,130497003520,0.00015899728105235857,11831000000.0,3389000000.0,1,1,0,1,0.0
19,1999-02-19,0.0398803688585758,0.0405965462439362,0.0377309177730669,0.0382086756731164,75360000,before_trump,538000000.0,21455638.44591378,0.0135647513124407,0.0096797011792659,130497003520,0.0001644147977897859,11831000000.0,3389000000.0,1,1,0,1,0.0
20,1999-02-22,0.040118783712387,0.0410742994021769,0.0379693328750208,0.040596541557282,205248000,before_trump,538000000.0,21583905.637264207,0.0136458448001316,0.0097375688622298,130497003520,0.0001653977107141487,11831000000.0,3389000000.0,1,1,0,1,0.0
21,1999-02-23,0.0420289002358913,0.0428652045697915,0.0386864328563337,0.041074303382908,138096000,before_trump,538000000.0,22611548.32690952,0.0142955442979222,0.0102011893776435,130497003520,0.00017327254815811973,11831000000.0,3389000000.0,1,1,0,1,0.0
22,1999-02-24,0.0453722812235355,0.0501489372297874,0.0442975575347873,0.0482379093052219,612768000,before_trump,538000000.0,24410287.2982621,0.0154327487154882,0.0110126896173629,130497003520,0.00018705630504780882,11831000000.0,3389000000.0,1,1,0,1,0.0
23,1999-02-25,0.0439399406313896,0.0487156826443299,0.0432228441857722,0.0472833241961908,149136000,before_trump,538000000.0,23639688.059687603,0.0149455580378876,0.0106650341338324,130497003520,0.00018115119444918578,11831000000.0,3389000000.0,1,1,0,1,0.0
24,1999-02-26,0.0419096946716308,0.04585004713625,0.0415520637211823,0.0444176923077157,172608000,before_trump,538000000.0,22547415.73333737,0.0142549981876295,0.0101722559882599,130497003520,0.00017278109937506533,11831000000.0,3389000000.0,1,1,0,1,0.0
25,1999-03-01,0.0421490333974361,0.0439399382638396,0.0401187935016192,0.0429844223408981,92160000,before_trump,538000000.0,22676179.967820622,0.0143364059174952,0.010230347911999,130497003520,0.0001737678211465236,11831000000.0,3389000000.0,1,1,0,1,0.0
26,1999-03-02,0.0417904704809188,0.0422682282546603,0.041074293284899,0.0420288899031972,55248000,before_trump,538000000.0,22483273.118734315,0.0142144457418091,0.0101433180778929,130497003520,0.00017228957380073883,11831000000.0,3389000000.0,1,1,0,1,0.0
27,1999-03-03,0.0389248467981815,0.0420288942551368,0.0386864273512157,0.0420288942551368,61392000,before_trump,538000000.0,20941567.577421647,0.0132397438089052,0.0094477783490731,130497003520,0.00016047546696512565,11831000000.0,3389000000.0,1,1,0,1,0.0
28,1999-03-04,0.0380885563790798,0.041074312415235,0.037730925371049,0.0408349739523002,57360000,before_trump,538000000.0,20491643.33194493,0.0129552912854012,0.0092447952376407,130497003520,0.00015702769243130076,11831000000.0,3389000000.0,1,1,0,1,0.0
29,1999-03-05,0.0402380116283893,0.040357219698056,0.0384471064655309,0.0384471064655309,78768000,before_trump,538000000.0,21648050.256073445,0.0136863985130575,0.0097665076767935,130497003520,0.00016588925164672964,11831000000.0,3389000000.0,1,1,0,1,0.0
30,1999-03-08,0.0408349595963954,0.0420288947024926,0.038447089384201,0.0391632666620014,75888000,before_trump,538000000.0,21969208.262860727,0.0138894420395902,0.0099113979602901,130497003520,0.00016835028905084185,11831000000.0,3389000000.0,1,1,0,1,0.0
31,1999-03-09,0.0421490333974361,0.0427460028249356,0.0407157629291187,0.0407157629291187,143184000,before_trump,538000000.0,22676179.967820622,0.0143364059174952,0.010230347911999,130497003520,0.0001737678211465236,11831000000.0,3389000000.0,1,1,0,1,0.0
