datetime,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,Date,Time
2023-05-22 09:30:00,30.901,31.52,30.68,31.39513,145468850,65.79526,31.31563,31.27555,0.47700234,0.54724325,-0.070240904,62.29355,64.44869,40.40849,26.16789,0.35719650,32.24575,31.029557,29.81337,2023-05-22,09:30
2023-05-22 10:30:00,31.395,31.47,31.232,31.35269,48675280,64.55890,31.27948,31.29098,0.45342475,0.52847955,-0.075054800,58.59662,61.15217,37.53837,42.34475,0.34868250,32.18723,31.10803,30.028830,2023-05-22,10:30
2023-05-22 11:30:00,31.354,31.3683,31.183,31.239,38064010,61.23924,31.28781,31.28058,0.42071598,0.50692683,-0.086210854,48.69357,56.52791,35.0044653,23.46293,0.33701252,32.12167,31.17018,30.21869,2023-05-22,11:30
2023-05-22 12:30:00,31.236,31.304,31.15,31.2805,32525600,62.0071993,31.30287,31.28057,0.39360533,0.48426253,-0.090657200,52.30835,53.19951,32.76560,11.077173,0.32394026,32.031641,31.23193,30.43222,2023-05-22,12:30
2023-05-22 13:30:00,31.285,31.399,31.284,31.367,24437720,63.62503,31.30076,31.29785,0.37477972,0.46236597,-0.087586252,59.84337,53.61510,30.52000,30.64264,0.30926594,31.90152,31.29568,30.68985,2023-05-22,13:30
2023-05-22 14:30:00,31.36401,31.41485,31.197,31.22301,30513210,59.11265,31.29026,31.28288,0.34427284,0.43874734,-0.094474502,49.59003,53.91392,28.57309,-22.80399,0.30273621,31.68014,31.34758,31.015022,2023-05-22,14:30
2023-05-22 15:30:00,31.225,31.248,31.1025,31.182,28275880,57.85417,31.28565,31.26271,0.31317669,0.41363321,-0.10045652,56.91627,55.44989,27.11299,-96.56559,0.29150517,31.67078,31.35298,31.035188,2023-05-22,15:30
2023-05-23 09:30:00,31.0,31.288,30.98,31.11909,91538990,55.88845,31.26910,31.23398,0.28022602,0.38695177,-0.10672575,52.27246,52.92626,26.18795,-112.27463,0.29268350,31.64682,31.33029,31.013754,2023-05-23,09:30
2023-05-23 10:30:00,31.1215,31.164,30.923,31.047,47853620,53.63945,31.24505,31.19659,0.24546586,0.35865459,-0.11318873,43.69051,50.95975,25.52423,-149.010183,0.28899184,31.65409,31.31477,30.97546,2023-05-23,10:30
2023-05-23 11:30:00,31.05,31.051999,30.715,30.84399,47080830,47.80531,31.18381,31.12607,0.19924032,0.32677174,-0.12753141,19.52284,38.49527,25.56820,-223.90211,0.29242096,31.65855,31.27957,30.90059,2023-05-23,11:30
2023-05-23 12:30:00,30.84599,30.92299,30.695,30.86758,43141490,48.50620,31.12991,31.074371,0.16263502,0.29394439,-0.13130937,22.33117,28.51484,25.66910,-207.27002,0.28781858,31.66985,31.25397,30.83810,2023-05-23,12:30
2023-05-23 13:30:00,30.8625,30.891,30.653,30.693,30011560,43.81682,31.069241,30.99810,0.11817550,0.25879062,-0.14061511,4.61353,15.48918,25.89373,-207.62301,0.28426015,31.63001,31.20277,30.77554,2023-05-23,13:30
2023-05-23 14:30:00,30.68975,30.83,30.631,30.807,40685110,47.39329,31.016630,30.95988,0.091089950,0.22525048,-0.13416053,19.79760,15.58077,26.17332,-169.99192,0.27817007,31.56060,31.15922,30.75785,2023-05-23,14:30
2023-05-23 15:30:00,30.81,30.849,30.678,30.693,32546910,44.35273,30.94174,30.90650,0.059736880,0.19214776,-0.13241088,6.97406,10.46173,26.31407,-145.28857,0.27051500,31.58551,31.13567,30.68584,2023-05-23,15:30
2023-05-24 09:30:00,30.21,30.319,29.926,29.92601,121397320,30.27828,30.79763,30.71040,-0.026692572,0.14837970,-0.17507227,0.00059295803,8.92409,28.25847,-274.71951,0.30597809,31.76764,31.074725,30.38181,2023-05-24,09:30
2023-05-24 10:30:00,29.926,30.05,29.806,30.038,78505850,33.59194,30.67052,30.57592,-0.085170062,0.10166974,-0.18683981,14.42028,7.13165,30.25400,-225.56348,0.30155111,31.81822,31.0073250,30.19643,2023-05-24,10:30
2023-05-24 11:30:00,30.037,30.12,29.903,29.984,49949590,32.78286,30.54440,30.45754,-0.13432292,0.054471211,-0.18879413,11.063795,8.49489,31.71965,-176.17656,0.29551184,31.85167,30.94065,30.029630,2023-05-24,11:30
2023-05-24 12:30:00,29.98427,30.069,29.88808,30.0089905,35435070,33.58016,30.42906,30.36783,-0.16930868,0.0097152332,-0.17902391,12.61713,12.70040,33.10842,-150.39515,0.28732673,31.86623,30.87992,29.89362,2023-05-24,12:30
2023-05-24 13:30:00,30.0049988,30.225,29.94,30.107,43175620,36.74887,30.34718,30.31566,-0.18697125,-0.029622063,-0.15734918,18.70908,14.13000,33.51539,-115.46754,0.28716058,31.84593,30.82187,29.79782,2023-05-24,13:30
2023-05-24 14:30:00,30.107,30.543,29.981,30.53798,78406120,48.40515,30.31055,30.36013,-0.16429867,-0.056557385,-0.10774129,49.39130,26.90583,32.38483,-65.58151,0.30679194,31.79581,30.78560,29.77538,2023-05-24,14:30
2023-05-24 15:30:00,30.53797,30.607,30.32201,30.541,76984590,48.47683,30.29366,30.39630,-0.14442190,-0.074130287,-0.070291611,49.59516,39.23184,31.066665,-39.037595,0.30523476,31.71803,30.74289,29.76775,2023-05-24,15:30
2023-05-25 09:30:00,38.523,38.599,36.635,38.357,642922080,89.42175,31.13255,31.98844,0.49629551,0.039954872,0.45634064,97.24783,65.41143,34.45300,575.95193,0.85900361,34.55445,31.093108,27.63177,2023-05-25,09:30
2023-05-25 10:30:00,38.357,39.48,37.99,38.948,265056860,90.064684,32.049776,33.38035,1.039772,0.23991822,0.79985340,94.50075,80.44791,37.73249,356.10906,0.90407474,36.34910,31.47856,26.60802,2023-05-25,10:30
2023-05-25 11:30:00,38.9555,39.108,38.253,38.42247,160421040,85.11094,32.99383,34.38878,1.41180,0.47429459,0.93750546,89.068340,93.60564,40.77773,228.037597,0.90056931,37.56696,31.83566,26.10435,2023-05-25,11:30
2023-05-25 12:30:00,38.42288,38.895,38.282,38.70346,107687240,85.56801,33.95666,35.25171,1.70960,0.72135599,0.98824563,91.97294,91.84734,43.60545,170.74126,0.88002868,38.65996,32.20248,25.74500,2023-05-25,12:30
2023-05-25 13:30:00,38.704,38.8,38.211,38.309,91044610,81.77291,34.88166,35.86317,1.89197,0.95547926,0.93649307,87.89540,89.64556,46.11829,132.74509,0.85924102,39.51831,32.55678,25.59524,2023-05-25,13:30
2023-05-25 14:30:00,38.312,38.548,38.095139,38.42389,112329490,82.022999,35.81664,36.37531,2.022459,1.16888,0.85358411,89.083009,89.65045,48.25796,109.27072,0.83021399,40.29757,32.91887,25.54018,2023-05-25,14:30
2023-05-25 15:30:00,38.4275,38.433,37.78,37.985,105444630,77.64053,36.69198,36.69725,2.066634,1.34843,0.71820683,84.54622,87.17488,49.70985,89.19709,0.81755584,40.90802,33.26217,25.61632,2023-05-25,15:30
2023-05-26 09:30:00,37.89,38.205,37.55,38.047751,179705440,77.82297,37.52640,36.96735,2.082698,1.49528,0.58741662,85.19487,86.27470,50.66847,76.29804,0.80594462,41.45872,33.61221,25.76569,2023-05-26,09:30
2023-05-26 10:30:00,38.042999,38.758,37.954,38.44459,134872110,78.99051,38.40457,37.26280,2.10321,1.61687,0.48633960,89.20540,86.31550,51.76216,74.81953,0.80580556,42.00022808,33.99224,25.98424,2023-05-26,10:30
2023-05-26 11:30:00,38.447,38.74,38.445,38.6585,86267820,79.61354,38.43807,37.54194,2.11237,1.71597,0.39640232,91.43550,88.61192,52.77774,70.73811,0.76934875,42.50108,34.38178,26.26248,2023-05-26,11:30
2023-05-26 12:30:00,38.66066,39.016861,38.621,38.702,76624070,79.74508,38.41074,37.77395,2.098946,1.79256,0.30638323,91.84486,90.82859,53.82514,66.79607,0.74267111,42.92429,34.78223,26.64018,2023-05-26,12:30
2023-05-26 13:30:00,38.704,38.998,38.627,38.9575,56857300,80.53936,38.47019,38.010661,2.084891,1.85103,0.23386301,94.49945,92.59327,54.79773,62.58780,0.71612333,43.31101,35.18976,27.068500,2023-05-26,13:30
2023-05-26 14:30:00,38.96,39.17,38.75,38.96248,79974220,80.55536,38.49897,38.20102,2.050517,1.89093,0.15959143,94.34898,93.56443,55.77066,59.65535,0.69497175,43.60782,35.60323,27.59864,2023-05-26,14:30
2023-05-26 15:30:00,38.963,39.001001,38.825,38.924,52784810,80.0078070,38.56730,38.34562,1.99715,1.91217,0.084978499,80.45694,89.76845,56.67409,55.24621,0.65790241,43.73579,36.053130,28.37048,2023-05-26,15:30
2023-05-30 09:30:00,40.50522,41.938,40.267,40.82333,330282080,85.31404,38.83391,38.84116,2.084091,1.94655,0.13753586,74.59732,83.13441,58.35401,93.16826,0.82619520,44.020355,36.59240,29.16444,2023-05-30,09:30
2023-05-30 10:30:00,40.828,41.415,40.736,41.108,116296000,85.91734,39.18091,39.29453,2.15117,1.98748,0.16368842,81.084737,78.71300,59.91393,96.29109,0.81568132,44.16865,37.14860,30.12855,2023-05-30,10:30
